rank,youtuber,subscribers,videoviews,impression,videocount,category,started,uploadpermonth,region
146,BhojpuriBeats,28600000,14307239074,17168686889,67,Music,12/17/2009,0,Europe
147,UltraTunes,28600000,14501468946,21027129972,5927,Music,12/2/2012,42,Asia
148,JingleFun,28600000,16201384834,23005966464,4665,Music,3/13/2006,21,Europe
149,ChanchlaniVines,28600000,9728073444,11673688133,228,Film & Animation,5/7/2013,2,Asia
150,PowerKidsTV,28600000,4054589048,6811709601,147,Comedy,4/13/2009,1,Asia
151,BeastGaming,28400000,14322875759,22630143699,2509,Film & Animation,5/22/2014,20,Asia
152,PiggyChannel,28400000,4943059589,5536226740,132,Gaming,2/29/2020,3,Europe
153,ToyorAljanahTV,28200000,21008328965,24999911468,2020,Film & Animation,10/17/2013,16,Europe
154,DonaTunes,28100000,25743323512,33981187036,3131,Entertainment,7/25/2008,16,Asia
155,TechGamer,28100000,18421172559,21921195345,160,Entertainment,11/12/2018,2,Asia
156,KidzWow,28100000,7193172591,11724871323,839,Gaming,9/6/2017,10,Europe
157,TalkingTomShow,28000000,14967441549,24247255309,3718,Film & Animation,11/8/2015,35,Asia
158,CordenTonight,28000000,13908482957,20723639606,447,Comedy,4/14/2010,3,Europe
159,LittleAngelSongs,27900000,9996299350,19892635707,5422,Entertainment,8/7/2006,25,Asia
160,GMANetworkTV,27700000,20217178677,27091019427,1146,Education,12/9/2015,11,Europe
161,KarolVibes,27600000,26290731375,41013540945,114067,Entertainment,5/18/2006,518,Asia
162,DonatoGames,27400000,14040459862,24851613956,121,Music,10/11/2013,1,Europe
163,VladNikiPlay,27200000,5094142687,7029916908,2491,Entertainment,2/28/2015,22,Europe
164,Round2Fun,27100000,17117316552,24820109000,405,Entertainment,8/5/2018,6,Asia
165,TamilTunes,27100000,2862422681,4866118558,67,Comedy,6/22/2016,1,Asia
166,DrakeTunes,26900000,16492704526,19131537250,460,Education,9/30/2014,4,Asia
167,IndianHacker,26800000,12947966180,23565298448,53,Music,6/4/2009,0,Asia
168,ZeeNewsTV,26800000,4592841527,6521834968,812,Science & Technology,2/10/2012,5,Asia
169,ToyPudding,26700000,12175851183,15341572491,144314,News & Politics,4/10/2007,689,Asia
170,GenevieveLearning,26600000,15570902183,24757734471,2579,Entertainment,3/22/2014,21,Europe
171,BounceRhymes,26500000,18579474197,34743616748,578,Education,5/12/2016,6,Europe
172,WizTunes,26400000,18891028184,34381671295,205,Music,3/25/2013,1,Asia
173,TeluguSongs,26400000,12528940373,22927960883,598,Music,1/4/2008,3,Europe
174,EnchufeTV,26300000,13426911345,19603290564,421,Education,4/3/2014,3,Europe
175,FlahVlogs,26300000,10022194205,12026633046,994,Comedy,11/1/2011,6,Asia
176,TDMShow,26300000,3589276436,5994091648,553,Gaming,6/7/2016,6,Europe
177,AdityaTunes,26200000,18809615646,36302558197,3603,Gaming,2/1/2012,24,Asia
178,LucasMarcus,26100000,22661822099,30820078055,19992,Music,12/11/2008,106,Asia
179,HipHopWorld,26100000,7942766503,15567822346,968,Entertainment,5/17/2011,6,Asia
180,VladNikita,25900000,19426357466,32636280543,6259,Music,4/30/2008,32,Asia
181,JacksonBeats,25900000,15750623413,31501246826,427,Gaming,11/22/2018,6,Asia
182,SwiftVEVO,25800000,12588288710,15735360888,7,Music,2/26/2005,0,Europe
183,ToySongs,25800000,23276597783,32587236896,239,Music,1/11/2009,1,Asia
184,VanossGames,25800000,13948216340,25664718066,496,Music,8/25/2009,3,Asia
185,Polinesios,25700000,14907579962,19081702351,1581,Gaming,5/27/2011,10,Asia
186,DanceStudio,25600000,7086413849,11409126297,725,People & Blogs,9/12/2012,5,Asia
187,BBVines,25500000,7409442051,11188257497,4251,Entertainment,8/23/2015,40,Asia
188,RenatoVlogs,25500000,4371751617,7300825200,185,Entertainment,7/24/2015,2,Asia
189,JYPEnt,25400000,6901320769,13112509461,3648,Entertainment,6/7/2011,23,Europe
190,RiriVEVO,25200000,17152981455,33448313837,1502,Music,6/8/2008,8,Asia
191,NickJunior,25200000,18089677017,31476038010,106,Music,3/30/2009,1,Asia
192,SmoshFun,25100000,20691684541,31865194193,4712,Film & Animation,1/13/2012,31,Asia
193,EminemVEVO,25000000,10184035967,19349668337,1366,Comedy,1/10/2005,6,Asia
194,MariliaMShow,24900000,18786748261,35131219248,98,Music,6/13/2009,1,Europe
195,BeyonceBeats,24900000,16477333283,30647839906,114,Music,11/8/2013,1,Asia
196,YuyaVlogs,24900000,15717379166,27348239749,234,Music,12/22/2005,1,Europe
197,PerryVEVO,24900000,2583410213,3255096868,672,Howto & Style,2/23/2009,4,Asia
198,JessUnlimited,24800000,22679485513,39689099648,171,Music,2/26/2009,1,Europe
199,WatchMojoTop,24700000,3060187306,5906161501,1914,Entertainment,9/5/2017,23,Asia
200,Ratitas,24600000,15650528115,17215580927,22492,Music,5/4/2007,108,Asia
201,MinajShow,24600000,9217427023,16683542912,217,People & Blogs,5/2/2015,2,Europe
202,JoJoMelodies,24500000,9386490086,13422680823,31,Music,2/13/2013,0,Europe
204,GuettaBeats,24400000,7143695444,12144282255,2844,Film & Animation,4/3/2016,28,Asia
205,MashaOso,24300000,15959928823,28249074017,633,Music,5/9/2009,3,Asia
206,AdityaMovies,24300000,11006209206,13207451047,840,Film & Animation,7/8/2016,9,Asia
207,NetflixTunes,24300000,7908171009,10834194282,4274,Movies,2/29/2012,29,Asia
208,ZHCFun,24300000,5678834326,8972558235,5650,Entertainment,11/26/2012,40,Asia
209,MaloneBeats,24300000,2224916696,3381873378,298,Film & Animation,9/21/2013,2,Europe
210,1theKShow,24200000,12492313399,20862163376,51,Music,10/30/2011,0,Asia
211,BhadanaVlogs,24200000,22605283252,39333192858,16928,Music,8/10/2011,108,Asia
212,RansTV,24100000,2242631303,3790046902,93,Entertainment,9/22/2012,1,Asia
213,TingFitness,24000000,5688277632,9442540869,3060,People & Blogs,2/12/2015,27,Europe
214,MaheshwariMotivation,24000000,2735828023,4596191079,367,Howto & Style,6/30/2011,2,Europe
215,RaffyAction,24000000,1821164544,2859228334,513,People & Blogs,9/13/2012,4,Europe
216,KSIVlogs,23900000,12797189774,18683897070,8755,News & Politics,6/14/2016,90,Asia
217,CollinsFun,23900000,5898102699,10144736642,1242,Entertainment,12/2/2009,7,Asia
218,JamesBeauty,23900000,6368398946,10125754324,251,Entertainment,12/21/2011,2,Europe
219,NinjaGames,23900000,3687600020,5937036032,406,Entertainment,12/17/2015,4,Europe
220,ColdplayTunes,23900000,2447087199,3083329871,1418,Gaming,10/2/2011,9,Europe
221,LoganVlogs,23500000,15078170011,17641458913,347,Music,5/11/2010,2,Europe
222,DJSnakeBeats,23500000,5889189870,7714838730,712,Entertainment,11/18/2015,7,Asia
223,BrownTunes,23400000,7645734689,12309632849,209,Music,4/26/2008,1,Asia
224,HappyLivesTV,23400000,13630944140,26989269397,21,Music,6/30/2006,0,Europe
225,TRANS7 Shows,23400000,10089784164,17657122287,596,Science & Technology,4/30/2016,6,Asia
226,TroomDIY,23300000,12454676964,15941986514,78951,Entertainment,7/12/2014,652,Europe
227,ABPLiveTV,23200000,9797581328,14892323619,1992,Howto & Style,3/5/2015,18,Europe
228,MaxFun,23200000,6805551423,10956937791,146479,People & Blogs,8/5/2017,1750,Europe
229,JamTunes,23100000,14762469807,20076958938,1046,People & Blogs,4/17/2014,8,Europe
230,ShemarooMovies,23100000,15050718616,19866948573,328,Music,1/10/2012,2,Europe
231,SesameStreetFun,23000000,5590554837,9336226578,2155,Entertainment,7/26/2011,14,Asia
232,EnriqueBeats,22900000,21078177585,38151501429,3425,Entertainment,7/28/2006,16,Europe
233,NetdMuzik,22900000,16539033540,22327695279,405,Music,2/22/2007,2,Europe
234,JellyGames,22800000,50658927334,85613587194,20482,Music,11/1/2014,175,Asia
235,ErlaniaValentina,22800000,14239994409,20363192005,5667,Gaming,1/25/2014,45,Asia
236,DrossVlogs,22700000,7556615404,9143504639,1117,Film & Animation,12/18/2014,10,Europe
237,AnuelBeats,22500000,5743037460,7351087949,1508,Entertainment,8/12/2006,7,Europe
238,GoldminesBollywood,22400000,11627613226,17906524368,92,Music,6/4/2016,1,Asia
239,KatyFun,22400000,7122122133,9401201216,2409,Film & Animation,10/19/2015,23,Europe
240,ChainsmokersBeats,22300000,13424354473,22418671970,990,People & Blogs,9/14/2014,8,Europe
241,XYZFun,22300000,13337815978,22941043482,237,Music,4/26/2012,2,Asia
242,FrostDiamonds,22300000,5869132761,9742760383,1085,Entertainment,11/9/2017,13,Asia
243,MarkRoberTech,22300000,5357578673,8947156384,2191,Gaming,8/13/2014,18,Asia
244,LallantopNews,22300000,2935811566,4579866043,107,Science & Technology,1/1/2011,1,Asia
245,TechGuru,22200000,8155335430,14924263837,39370,News & Politics,4/6/2015,351,Europe
246,GrammyOfficial,22200000,3065204553,5915844787,4609,Science & Technology,2/1/2015,40,Asia
247,HUM TV Shows,22100000,24128528075,38605644920,13755,Music,7/25/2010,81,Europe
248,NastyaArabic,22100000,16656148835,29981067903,59428,Entertainment,12/21/2011,391,Europe
249,WB Kids Fun,22100000,11179266145,19340130431,576,Entertainment,5/7/2018,8,Asia
250,VenusMovies,22100000,9340794746,14851863646,1722,People & Blogs,2/21/2015,15,Europe
251,NastyaESP,22100000,6293790011,8181927014,2456,Entertainment,8/17/2010,15,Europe
252,BalvinTunes,22000000,11550410746,21483763988,266,Music,8/17/2010,2,Europe
253,CrackGames,22000000,8261468075,15944633385,413,People & Blogs,7/26/2018,6,Europe
254,VegettaPlay,21900000,16356422375,21917605983,1139,People & Blogs,5/3/2010,7,Asia
255,UltraBollywood,21900000,13835267771,23381602533,172,People & Blogs,9/30/2008,1,Asia
256,MarkiplierFun,21700000,9719487276,15453984769,5094,Entertainment,8/2/2014,42,Asia
257,AbhayAgastya,21700000,7061442001,8191272721,52,Music,8/24/2016,1,Europe
258,These names are designed to be distinct from the original ones to avoid any potential copyright issues.,21700000,4016933296,7029633268,2751,Entertainment,5/15/2006,12,Europe
259,4o,21700000,2370380465,4551130493,4005,People & Blogs,10/19/2006,19,Asia
260,Sia,21600000,12150226022,20898388758,144,Music,11/28/2007,1,Europe
262,Wave Music Bhojpuri,21500000,12148385591,19923352369,21294,Music,7/19/2014,176,Asia
263,Peppa Pig Espa̱ol Latino - Canal Oficial,21500000,6961098158,10928924108,949,Film & Animation,5/10/2014,8,Asia
264,FaZe Rug,21500000,6009951177,6731145318,1997,Gaming,1/22/2012,13,Asia
265,Goldmines Movies,21400000,4575205400,8143865612,4025,Film & Animation,12/23/2013,32,Asia
266,Pen Movies,21200000,5588648749,7377016349,1569,Film & Animation,9/8/2014,13,Europe
267,nigahiga,21200000,4357416327,7276885266,403,Entertainment,12/20/2006,2,Asia
268,BabyBus - Canciones Infantiles & Cuentos,21100000,11922457689,13830050919,973,Education,12/12/2018,14,Asia
269,Enaldinho,21100000,7382859153,8711773801,2908,Comedy,8/24/2012,20,Asia
270,SSundee,21000000,12022708572,18635198287,3067,Gaming,12/23/2009,17,Europe
271,Tasty,21000000,5508445771,10355878049,4310,Howto & Style,3/26/2016,43,Europe
272,FGTeeV,20900000,22567064225,34301937622,1594,Gaming,8/29/2013,12,Asia
273,Dua Lipa,20900000,9928011592,12807134954,164,Music,7/23/2011,1,Europe
274,5-Minute Crafts DIY,20900000,4934552904,6069500072,3961,Howto & Style,3/28/2018,52,Europe
275,Juan De Dios Pantoja,20900000,1601142353,1953393671,175,Entertainment,9/29/2014,1,Asia
276,Indosiar,20800000,10126082404,19948382336,58623,Music,3/20/2013,428,Europe
277,Like Nastya PRT,20800000,10441789042,15349429892,529,Entertainment,9/24/2019,9,Europe
278,Preston,20800000,6955897177,11616348286,3861,Gaming,7/19/2012,27,Europe
279,Baim Paula,20800000,4254648656,7743460554,1957,People & Blogs,5/12/2016,20,Europe
280,Charlie Puth,20700000,8609202215,14980011854,132,Music,2/15/2009,1,Europe
281,Canal Canalha,20700000,1834293432,2788126017,291,Comedy,5/1/2011,2,Asia
282,MrBeast en Espa̱ol,20700000,2290112686,4236708469,72,Entertainment,9/24/2021,2,Europe
283,Goldmines Cineplex,20600000,1796017693,2352783178,2474,Film & Animation,8/10/2015,23,Asia
284,Brent Rivera,20500000,4655819045,8752939805,484,Comedy,5/3/2009,3,Asia
285,Kids TV - Nursery Rhymes And Baby Songs,20400000,11747446967,15271681057,3367,Shows,9/21/2013,26,Asia
286,Disney Latinoam̩rica,20400000,19296050086,32031443143,7811,Entertainment,1/26/2007,37,Asia
287,Becky G,20400000,9552800638,14233672951,73,Music,7/18/2011,0,Europe
288,Family GamesTV,20400000,7061690830,12922894219,277,Entertainment,4/3/2016,3,Asia
289,Jake Paul,20400000,7219140294,12344729903,934,People & Blogs,9/25/2013,7,Europe
290,National Geographic,20400000,5199519260,8943173127,9854,Science & Technology,7/26/2006,45,Asia
291,Tekashi 6ix9ine,20400000,5325195339,7881289102,25,People & Blogs,11/4/2018,0,Asia
292,BuzzFeedVideo,20300000,17755714250,29829599940,7347,People & Blogs,6/11/2011,46,Europe
293,Brave Wilderness,20300000,4606459332,6264784692,718,Pets & Animals,3/17/2014,6,Europe
295,Avicii,20200000,9499913181,15104861958,149,Music,10/22/2009,1,Europe
296,REACT,20100000,12940702514,20187495922,3885,Entertainment,3/6/2007,18,Asia
297,LazarBeam,20100000,8389982773,12501074332,1258,Gaming,5/29/2015,11,Europe
298,StarPlus,20100000,12116551500,21325130640,12702,Entertainment,7/5/2006,58,Asia
299,AuthenticGames,20100000,8852635760,16554428871,4638,Gaming,7/4/2011,29,Europe
300,Vevo,20000000,546905035,918800459,1519,Music,5/8/2006,7,Asia
301,Skrillex,20000000,6307539008,10407439363,180,Music,4/7/2010,1,Asia
302,Rotana,20000000,16480938259,29500879484,8109,Music,10/22/2012,57,Europe
303,Ultra Movie Parlour,20000000,4930920530,9861841060,1302,Movies,10/24/2011,8,Asia
304,SlivkiShow,20000000,4345234891,6517852337,426,Entertainment,6/3/2012,3,Asia
305,HaerteTest,20000000,3027361293,3542012713,1160,Science & Technology,9/8/2011,7,Asia
306,5-Minute Crafts PLAY,19900000,5616881420,7358114660,4440,Howto & Style,9/13/2017,54,Asia
307,Alan Becker,19900000,4321286202,7259760819,116,Film & Animation,3/24/2006,1,Europe
308,JennaMarbles,19900000,1761774908,2942164096,250,Comedy,3/23/2010,1,Europe
309,Mnet K-POP,19800000,15394134862,24938498476,29028,Entertainment,7/5/2006,133,Asia
310,Lyrical Lemonade,19800000,9563010656,12431913853,408,Entertainment,2/28/2013,3,Europe
311,Pencilmation,19800000,10849211839,19094612837,1153,Film & Animation,3/10/2007,5,Asia
312,Tlnovelas,19700000,12776498114,25041936303,29574,News & Politics,2/28/2013,215,Europe
313,Pentatonix,19700000,5694327707,10022016764,235,Music,2/5/2011,1,Europe
314,Totoy kids - Portugu̻s,19700000,3826474945,4476975686,174,Film & Animation,9/21/2014,1,Asia
315,LankyBox,19600000,25787517689,33523772996,5545,Comedy,12/20/2016,61,Asia
316,toyorbabytv,19600000,13978892435,17892982317,1057,Music,11/17/2012,7,Europe
318,shane,19600000,4269173489,6062226354,566,People & Blogs,12/13/2005,3,Asia
319,Marvel Entertainment,19500000,5098361752,6525903043,7989,Entertainment,2/9/2005,34,Europe
320,Noor Stars,19500000,2545886796,2978687551,627,Comedy,10/30/2014,5,Asia
321,GMA Public Affairs,19400000,11968987179,20826037691,37390,Entertainment,11/19/2009,211,Europe
